S No.,Name,Status,Possession,Cost,link
1,4 MG Servos,In House,Miriam,1400,https://www.amazon.in/REES52-Analog-Digital-Helicopter-Control/dp/B07PMBWFMC/ref=pd_vtp_21_6/260-3911333-4391730?_encoding=UTF8&pd_rd_i=B07PMBWFMC&pd_rd_r=70182526-7c68-4fd3-9398-eed6548e0b88&pd_rd_w=J4yz4&pd_rd_wg=RTAl8&pf_rd_p=ea9b07ad-f80c-40aa-b709-c9f95616bd48&pf_rd_r=T72XKCE75W8QNVTVKPQZ&psc=1&refRID=T72XKCE75W8QNVTVKPQZ
2,4 MG Servos,In House,Shanmuga,1400,https://www.amazon.in/REES52-Analog-Digital-Helicopter-Control/dp/B07PMBWFMC/ref=pd_vtp_21_6/260-3911333-4391730?_encoding=UTF8&pd_rd_i=B07PMBWFMC&pd_rd_r=70182526-7c68-4fd3-9398-eed6548e0b88&pd_rd_w=J4yz4&pd_rd_wg=RTAl8&pf_rd_p=ea9b07ad-f80c-40aa-b709-c9f95616bd48&pf_rd_r=T72XKCE75W8QNVTVKPQZ&psc=1&refRID=T72XKCE75W8QNVTVKPQZ
3,1 MPU 6050,In House,Miriam,230,https://www.amazon.in/Robocraze-MPU-6050-Gyroscope-Accelerometer-Arduino/dp/B07H3XH1TB/ref=sr_1_1?crid=2C64KB9PJL16W&dchild=1&keywords=mpu+6050&qid=1601226786&s=industrial&sprefix=MPU%2Cindustrial%2C421&sr=1-1
4,1 MPU 6050,In House,Shanmuga,230,https://www.amazon.in/Robocraze-MPU-6050-Gyroscope-Accelerometer-Arduino/dp/B07H3XH1TB/ref=sr_1_1?crid=2C64KB9PJL16W&dchild=1&keywords=mpu+6050&qid=1601226786&s=industrial&sprefix=MPU%2Cindustrial%2C421&sr=1-1
5,5V SMPS,Ordered,Miriam,750,https://www.amazon.in/Switching-Switch-Supply-Strips-supply/dp/B08FDXGLNL/ref=asc_df_B08FDXGLNL/?tag=googleshopdes-21&linkCode=df0&hvadid=397008598948&hvpos=&hvnetw=g&hvrand=8592671087748425993&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1007809&hvtargid=pla-1021028897197&psc=1&ext_vrnc=hi
6,5V SMPS,In House,Shanmuga,750,https://www.amazon.in/Switching-Switch-Supply-Strips-supply/dp/B08FDXGLNL/ref=asc_df_B08FDXGLNL/?tag=googleshopdes-21&linkCode=df0&hvadid=397008598948&hvpos=&hvnetw=g&hvrand=8592671087748425993&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1007809&hvtargid=pla-1021028897197&psc=1&ext_vrnc=hi
7,1 Solder Iron,In House,Miriam,478,https://www.amazon.in/Stanley-69-031B-30-Watt-Corded-Soldering/dp/B00ICIIS5Q/ref=sr_1_10?dchild=1&keywords=solder+iron&qid=1601233307&sr=8-10
8,1 Solder Iron,In House,Shanmuga,150,Trichy
9,Single core copper wires -10m,In House,Miriam,185,https://www.amazon.in/Electronicspices-Single-Breadboard-Jumper-Hookup/dp/B07YX5QHJ1/ref=sr_1_4?dchild=1&keywords=electronic+wires&qid=1601294348&sr=8-4
10,Single core copper wires-10m,In House,Shanmuga,30,Trichy
11,"Jumper wires -MM,MF,FF",In House,Miriam,165,https://www.amazon.in/Jumper-Wires-Male-female-Pieces/dp/B00ZYFX6A2/ref=sr_1_1?adgrpid=63292726030&dchild=1&ext_vrnc=hi&gclid=Cj0KCQjwk8b7BRCaARIsAARRTL6tbdjFc3gsPUPU6aYDaQfHY1Ql3gUpJlg2FZbgb0uoZUJ2MBPxI9IaAoVQEALw_wcB&hvadid=397847382857&hvdev=c&hvlocphy=1007809&hvnetw=g&hvqmt=b&hvrand=7339920849583075814&hvtargid=kwd-5
12,"Jumper wires -MM,MF,FF",Ordered,Shanmuga,165,https://www.amazon.in/Jumper-Wires-Male-female-Pieces/dp/B00ZYFX6A2/ref=sr_1_1?adgrpid=63292726030&dchild=1&ext_vrnc=hi&gclid=Cj0KCQjwk8b7BRCaARIsAARRTL6tbdjFc3gsPUPU6aYDaQfHY1Ql3gUpJlg2FZbgb0uoZUJ2MBPxI9IaAoVQEALw_wcB&hvadid=397847382857&hvdev=c&hvlocphy=1007809&hvnetw=g&hvqmt=b&hvrand=7339920849583075814&hvtargid=kwd-5
13,2 pin cable,In House,Miriam,139,https://www.amazon.in/LS-LAPSTER-Accessories-Adapter-Recorder/dp/B084BR3QX8/ref=asc_df_B084BR3QX8/?tag=googleshopdes-21&linkCode=df0&hvadid=396987612375&hvpos=&hvnetw=g&hvrand=161634434381879915&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1007809&hvtargid=pla-930140642114&psc=1&ext_vrnc=hi
14,2 pin cable,In House,Shanmuga,100,Trichy
15,Solder Lead,In House,Miriam,350,https://www.amazon.in/Electronic-Spices-COMBO-Rosin-Soldering/dp/B07YX6SSPT/ref=sr_1_15?dchild=1&keywords=solder+lead&qid=1601577755&s=industrial&sr=1-15
16,Solder Lead,In House,Shanmuga,50,Trichy
,,,,,
,,,,,
,,,,,
,,,,6572,
